goal,a,b,label,edge_type,source,system_tag
get a nice gold ring for cheap,sit down at computer,decide to get a nice gold ring for cheap,0,reversed,reversed_edge,three_way_probe
purchase a new car,call to arrange meeting at car dealer,research cars on line,0,reversed,reversed_edge,three_way_probe
visit the beach,Pack a cooler of drinks and snacks.,Pack a beach bag with supplies.,2,truly_parallel,proscript,three_way_probe
buy a new television,look at the reviews on the website,find the best price for a particular television,0,reversed,reversed_edge,three_way_probe
find a wife,visit social media sites like Facebook and Instagram,visit sites offering foreign brides,2,truly_parallel,proscript,three_way_probe
pry open a frozen car door,Obtain water bottle,Pour water on frozen door to loosen,1,confirmed,confirmed_edge,three_way_probe
go fishing anymore,Buy fishing equipment,Find a body of water nearby,2,truly_parallel,proscript,three_way_probe
go in the navy,Call a recruiter,Set an appointment,1,confirmed,confirmed_edge,three_way_probe
make some brownies,Use a beater to mix together the ingredients,Put all of the ingredients into the bowl,0,reversed,reversed_edge,three_way_probe
find a wife,visit sites offering foreign brides,visit social media sites like Facebook and Instagram,2,truly_parallel,proscript,three_way_probe
audition for the school play,Practice reading lines before bed,Get script to practice,0,reversed,reversed_edge,three_way_probe
make Kool Aid to cool down,fill the pitcher with water,empty the packet of kool-aid into the pitcher,2,truly_parallel,proscript,three_way_probe
try something new,Decide which activities on the list are the most appealing.,Make a list of all untried activities.,0,reversed,reversed_edge,three_way_probe
learn how to line dance,Learn to love country music,Watch other dancers,1,confirmed,confirmed_edge,three_way_probe
build a snowman,put on hat,put on gloves,2,truly_parallel,proscript,three_way_probe
learn how to dunk,Open equipment and start practicing,Wait for the equipment to arrive,0,reversed,reversed_edge,three_way_probe
take up boxing so bad,Travel to gym.,Meet with trainer.,1,confirmed,confirmed_edge,three_way_probe
see a football game,Choose a seat in the stands,Wait for the game to start,1,confirmed,confirmed_edge,three_way_probe
throw the best Halloween party,print out invitations on festive paper,purchase assorted scary decorations,2,truly_parallel,proscript,three_way_probe
pry open a frozen car door,Pour water on frozen door to loosen,Hit ice with crow bar,1,confirmed,confirmed_edge,three_way_probe
form a gang,find a people from same side of the tracks,find a bunch of friends with the same creed,2,truly_parallel,proscript,three_way_probe
get more involved,join a group of other parents,be on the lookout for unexplained shifts in behavior,2,truly_parallel,proscript,three_way_probe
purchase new living room furniture,put on shoes,look up IKEA's hours online,2,truly_parallel,proscript,three_way_probe
go on a hike,Get in the car,Put on hiking boots,0,reversed,reversed_edge,three_way_probe
go to Hawaii,Go through security and find the correct gate,Pick up the ticket at the airport,0,reversed,reversed_edge,three_way_probe
learn how to rock climb,drive to the rock climbing gym,listen to the instructor,1,confirmed,confirmed_edge,three_way_probe
go back in time,study time travel,create a time machine prototype,1,confirmed,confirmed_edge,three_way_probe
make a living performing,get an agent,make a name performing,0,reversed,reversed_edge,three_way_probe
adopt a cat from the animal shelter,drive to the animal shelter,ask to look at the adoptable cats,1,confirmed,confirmed_edge,three_way_probe
live a healthier lifestyle,throw out all the candy in the house,purchase a selection of fruits,2,truly_parallel,proscript,three_way_probe
build a snowman,put on boots,put on gloves,2,truly_parallel,proscript,three_way_probe
learn more about human anatomy,sit down in a chair at the table,open the book,1,confirmed,confirmed_edge,three_way_probe
have a family dinner,Purchase groceries for dinner,Drive to grocery store,0,reversed,reversed_edge,three_way_probe
learn how to ride a bike,compare the different bikes,drive to the bike shop,0,reversed,reversed_edge,three_way_probe
find the killer for the most recent murder,look over the crime scene,interview the witnesses,2,truly_parallel,proscript,three_way_probe
eat a quick dinner,apply the peanut butter to the bread,take a knife out,0,reversed,reversed_edge,three_way_probe
create a video game,Program the game,Learn to use a language that is used in games,0,reversed,reversed_edge,three_way_probe
have a birthday party,decorate the location for the party,make food for the party,2,truly_parallel,proscript,three_way_probe
start a restaurant,Put tables inside,Hire new staff,1,confirmed,confirmed_edge,three_way_probe
buy a new television,look at the reviews on the website,add television to cart,1,confirmed,confirmed_edge,three_way_probe
learn how to play card games,Purchase a book regarding a specific card game,Look up card games online,0,reversed,reversed_edge,three_way_probe
do many chores,decide to do many chores,sit down at desk,1,confirmed,confirmed_edge,three_way_probe
buy a bike for a long time,Wait for the bike to be delivered,Unpack the bike,1,confirmed,confirmed_edge,three_way_probe
play the piano,set up the sheet music,sit down at the piano,2,truly_parallel,proscript,three_way_probe
build a snowman,put on coat,decide to build a snowman,0,reversed,reversed_edge,three_way_probe
take tap dancing lessons,buy tap shoes for class,register for the tap class,0,reversed,reversed_edge,three_way_probe
learn to knit,Purchase knitting supplies.,Drive home with supplies.,1,confirmed,confirmed_edge,three_way_probe
attract more customers,Record advertising campaign.,Put together ads for customer attraction.,0,reversed,reversed_edge,three_way_probe
build a snowman,put on coat,put on gloves,2,truly_parallel,proscript,three_way_probe
buy some music equipment,Search for music equipment,Specify with music equipment,1,confirmed,confirmed_edge,three_way_probe
make homemade potato chips,thinly slice potatoes,scrub and peel potatoes,0,reversed,reversed_edge,three_way_probe
eat spicy sushi,when order arrives grab chopsticks,use chopsticks to add some wasabi,1,confirmed,confirmed_edge,three_way_probe
get Chinese food,Decide what to order,Call the restaurant,1,confirmed,confirmed_edge,three_way_probe
use social media,Go to app store,Download Facebook from store,1,confirmed,confirmed_edge,three_way_probe
go bike riding,take bike out of garage,open garage door,0,reversed,reversed_edge,three_way_probe
decided on a college soon,Search Internet for colleges.,Schedule a visit to colleges.,1,confirmed,confirmed_edge,three_way_probe
know why religion was so controversial,read news articles about religion,use the internet to research,2,truly_parallel,proscript,three_way_probe
bake some chocolate cookies,find a large mixing bowl,find a large mixing spoon,2,truly_parallel,proscript,three_way_probe
build a snowman,put on hat,put on boots,2,truly_parallel,proscript,three_way_probe
start an apple orchard,purchase a shovel,purchase a long hose,2,truly_parallel,proscript,three_way_probe
go bike riding,close garage door,get on bike,1,confirmed,confirmed_edge,three_way_probe
learn to back flip,Order a trampoline or a foam ball pit.,Set the item up when upon arrival.,1,confirmed,confirmed_edge,three_way_probe
go back to college,See what majors are offered.,Search the Internet for nearby colleges.,0,reversed,reversed_edge,three_way_probe
get a skin peel at a dermatologist office,Check in at office,Wait to be be called by dermatologist,1,confirmed,confirmed_edge,three_way_probe
wear ripped jeans,bring jeans home,purchase new jeans,0,reversed,reversed_edge,three_way_probe
see a new movie,go to the correct theater room,drive to the theater,0,reversed,reversed_edge,three_way_probe
teach horseback riding,Sign up people for the class,Schedule a time,0,reversed,reversed_edge,three_way_probe
ride an elephant,Go online via a computer or phone,Search for locations where elephants can be ridden,1,confirmed,confirmed_edge,three_way_probe
go to a party on Saturday night,park the car,knock on the front door,1,confirmed,confirmed_edge,three_way_probe
write a comic strip about youthful imagination,color the comic strip,write dialogue for the comic strip,2,truly_parallel,proscript,three_way_probe
go back to school,Get list of school supplies needed,Get list of books needed,2,truly_parallel,proscript,three_way_probe
compete in a Tough Mudder race,Train for the race.,Sign the waiver and pay the fee.,0,reversed,reversed_edge,three_way_probe
learn how to rock climb,look online for rock climbing gyms,sign up for beginner's rock climbing,1,confirmed,confirmed_edge,three_way_probe
go to work,grab briefcase and car keys and lock house,brush teeth and wash up,0,reversed,reversed_edge,three_way_probe
visit the beach,Drive to the beach early.,Pack a beach bag with supplies.,0,reversed,reversed_edge,three_way_probe
get unique shoes that would standout at school,sit down at computer,turn on computer,1,confirmed,confirmed_edge,three_way_probe
cut down our own tree,Put on protective eyewear,Pick up a chainsaw,1,confirmed,confirmed_edge,three_way_probe
go to space,apply to join honors program,after high school go to college for bachelors,2,truly_parallel,proscript,three_way_probe
buy a puppy,pay for the dog,take the dog to the cashier,0,reversed,reversed_edge,three_way_probe
play pro basketball,Gain recognition for skills,Work on basketball shots,0,reversed,reversed_edge,three_way_probe
have a family dinner,Call family members,Drive to grocery store,2,truly_parallel,proscript,three_way_probe
go apple picking,Pay to pick apples,Drive to apple orchard,0,reversed,reversed_edge,three_way_probe
get a suit for an upcoming wedding,Try on a few suites.,Go to the changing area.,0,reversed,reversed_edge,three_way_probe
go apple picking,Get a basket to put apples in,Pay to pick apples,0,reversed,reversed_edge,three_way_probe
learn how to do a cartwheel,put on gym clothes,log onto the internet,2,truly_parallel,proscript,three_way_probe
visit the beach,Drive to the beach early.,Find a parking spot.,1,confirmed,confirmed_edge,three_way_probe
have a house party,Make a list of potential guests,Select music for the party,2,truly_parallel,proscript,three_way_probe
get more involved,plan activities together,join a group of other parents,2,truly_parallel,proscript,three_way_probe
build a snowman,put on coat,put on hat,2,truly_parallel,proscript,three_way_probe
do a mac & cheese,boil macaroni noodles,drain macaroni noodles,1,confirmed,confirmed_edge,three_way_probe
learn how to play the violin,practice every day for a couple of years,take more lessons,2,truly_parallel,proscript,three_way_probe
plant an apple tree,buy an apple tree,put apple tree in truck,1,confirmed,confirmed_edge,three_way_probe
open a checking account,fill out required paper work,wait for the bank to process the paperwork,1,confirmed,confirmed_edge,three_way_probe
go on a cruise for vacation,Pay for package,Select a destination,0,reversed,reversed_edge,three_way_probe
try investing money,create a new account,find items to invest in,2,truly_parallel,proscript,three_way_probe
know why religion was so controversial,read news articles about religion,read books on religion,2,truly_parallel,proscript,three_way_probe
take horseback riding lessons,Wear proper clothing,Sign up for lessons online,0,reversed,reversed_edge,three_way_probe
learn to bowl,Get a map of the bowling location,Drive to the bowling class,1,confirmed,confirmed_edge,three_way_probe
make some bath soap last week,wait for soap to cool/become firm,pour ingredient mix into a soap mold.,0,reversed,reversed_edge,three_way_probe
scuba dive in caves,find a body of water,purchase scuba gear,2,truly_parallel,proscript,three_way_probe
learn how to play poker like a professional,play poker for friends for money,practice playing poker with friends for fun,0,reversed,reversed_edge,three_way_probe
learn how to make rice for months,cook all the rice,measure portions according to rice instructions,0,reversed,reversed_edge,three_way_probe
have fresh herbs to enjoy year-round,Purchase seeds for herbs,Purchase Soil for the pot,2,truly_parallel,proscript,three_way_probe
buy a denim jacket,take denim jacket up to counter,pick out the best denim jacket,0,reversed,reversed_edge,three_way_probe
play with dolls,take the dolls home,purchase the dolls,0,reversed,reversed_edge,three_way_probe
find a gym,Open the webpages,Contact gyms with questions,1,confirmed,confirmed_edge,three_way_probe
go pick up groceries for dinner,walk into store,get in car and go to store,0,reversed,reversed_edge,three_way_probe
see Metallica live in concert,research Metallica tour locations,go to internet,0,reversed,reversed_edge,three_way_probe
do well on the upcoming test,Sit down to take the test,Go to the location of the test,0,reversed,reversed_edge,three_way_probe
buy a puppy,choose a dog,play with the dogs,0,reversed,reversed_edge,three_way_probe
throw the best Halloween party,purchase assorted scary decorations,print out invitations on festive paper,2,truly_parallel,proscript,three_way_probe
check out the ice cream shop nearby,get in car.,walk out to car.,0,reversed,reversed_edge,three_way_probe
learn how to make candy,secure the necessary ingredients,begin making candy,1,confirmed,confirmed_edge,three_way_probe
start a website,Research website hosts,Get a working computer,0,reversed,reversed_edge,three_way_probe
learn how to garden,Read the gardening books.,Purchase gardening supplies.,0,reversed,reversed_edge,three_way_probe
go fishing anymore,Buy fishing equipment,Wait for a nice day to go fishing,2,truly_parallel,proscript,three_way_probe
play video games,Pick out a gaming system.,Search the Internet for good games.,1,confirmed,confirmed_edge,three_way_probe
build a swing set in their backyard,follow instructions in assembly guide,round up tools to use,0,reversed,reversed_edge,three_way_probe
get a flu shot,Fill out paperwork.,Wait in the office.,1,confirmed,confirmed_edge,three_way_probe
make a paper plane,sit at the table,place the paper flat on the table,1,confirmed,confirmed_edge,three_way_probe
sit in the front seat of the car,unlock the car door,open the car door,1,confirmed,confirmed_edge,three_way_probe
learn how to play the guitar,Press down strings,watch video lessons,0,reversed,reversed_edge,three_way_probe
swim at a nearby lake,Change into swimsuit,Walk to lake dock,1,confirmed,confirmed_edge,three_way_probe
start the 21 day fix program,Review books online on how to fix the problem,Purchase the necessary book,1,confirmed,confirmed_edge,three_way_probe
raise money for their school club,Find out how much money the club needs.,Think of fundraising ideas.,1,confirmed,confirmed_edge,three_way_probe
sail the seven seas,negotiate a fair deal,ask boat captain to join the crew,0,reversed,reversed_edge,three_way_probe
buy some headphones,enter in credit card details,add the headphones to cart,0,reversed,reversed_edge,three_way_probe
plant seeds after the winter,go into the shed,take seeds home,0,reversed,reversed_edge,three_way_probe
get more involved,ask questions about the child's day,make time to eat together,2,truly_parallel,proscript,three_way_probe
join the basketball team,Contact school for tryout information,Practice skill by performing,1,confirmed,confirmed_edge,three_way_probe
build a snowman,put on coat,put on boots,2,truly_parallel,proscript,three_way_probe
go see the new movie that just came out,present tickets to usher,drive to theater,0,reversed,reversed_edge,three_way_probe
see a Broadway show,Purchase tickets from a broker,Find what shows are in town,0,reversed,reversed_edge,three_way_probe
make some cookies,Bake the cookie dough into cookies,Preheat the oven,0,reversed,reversed_edge,three_way_probe
attend a wine tasting,Search local wine tasting events,Make a reservation,1,confirmed,confirmed_edge,three_way_probe
donate to charity,Decide which charity,Go to the charity's website,1,confirmed,confirmed_edge,three_way_probe
run a computer program,decide which program to run,update computer first,0,reversed,reversed_edge,three_way_probe
build a giant snowman,"Get a scarf, a carrot, and rocks",Put carrot and rocks in center of the small ball,1,confirmed,confirmed_edge,three_way_probe
participate in a chess tournament,find a spot to wait until turn,run through possible strategies,2,truly_parallel,proscript,three_way_probe
borrow a pencil from the teacher,Raise a hand,Wait for the teacher to notice,1,confirmed,confirmed_edge,three_way_probe
get a job delivering papers,call newspapers to follow-up,take part in interview,0,reversed,reversed_edge,three_way_probe
make extra money before college started,Choose a job from offers received,Interview for jobs,0,reversed,reversed_edge,three_way_probe
try investing money,click on the link to the website,create a new account,1,confirmed,confirmed_edge,three_way_probe
learn to knit,Drive to store to purchase supplies.,Purchase knitting supplies.,1,confirmed,confirmed_edge,three_way_probe
take horseback riding lessons,Show up for lessons,Grab the reins,1,confirmed,confirmed_edge,three_way_probe
know why religion was so controversial,read books on religion,talk to local authorities on the matter,2,truly_parallel,proscript,three_way_probe
buy a new laptop,bring laptop to cashier,select laptop to buy,0,reversed,reversed_edge,three_way_probe
buy an XBox 1,read the reviews,watch videos of gameplay,2,truly_parallel,proscript,three_way_probe
start a comic book,Write the story and dialog,Storyboard the story,1,confirmed,confirmed_edge,three_way_probe
bake some chocolate cookies,gather all ingredients together,put all ingredients into bowl and mix,1,confirmed,confirmed_edge,three_way_probe
buy a bike for a long time,Test the bike out to make sure it's good,Unpack the bike,0,reversed,reversed_edge,three_way_probe
try the new frozen yogurt place,make an order,read the menu,0,reversed,reversed_edge,three_way_probe
help raise money for public television,Research how to get involved in a fundraising event,Sign up for an event,1,confirmed,confirmed_edge,three_way_probe
make chicken curry,find the spice aisle,go to the produce department,2,truly_parallel,proscript,three_way_probe
work at a ramen shop,Accept a job offer,Go in for an interview,0,reversed,reversed_edge,three_way_probe
buy a video game,decide on a video game,watch trailers for the video games,0,reversed,reversed_edge,three_way_probe
see SNL while in NYC,Go to the building SNL is in,Stand in line,1,confirmed,confirmed_edge,three_way_probe
collect bacteria samples,label the plastic bag,Close the plastic bag,0,reversed,reversed_edge,three_way_probe
make chicken curry,go to the produce department,get some fresh chicken,2,truly_parallel,proscript,three_way_probe
start a Babysitters Club like in the books,get permission from parents to use house,call friends together with invitations,2,truly_parallel,proscript,three_way_probe
attend gym today,Drive to the gym.,Find one that has compatible hours.,0,reversed,reversed_edge,three_way_probe
wake up early to go fishing,Take a shower to sleep better,Set alarm for early morning,2,truly_parallel,proscript,three_way_probe
start a book club,Tell the friends to join book club.,Find some friends who like books.,0,reversed,reversed_edge,three_way_probe
bench press two hundred pounds,drive home from sporting goods store,purchase weight bench and weight set,0,reversed,reversed_edge,three_way_probe
go to the library downtown,put on shoes and clothing,check the library's hours online,2,truly_parallel,proscript,three_way_probe
do was hit a homerun,swing when ball is thrown,look at the pitcher,0,reversed,reversed_edge,three_way_probe
go on a cruise for vacation,Select a destination,Pay for package,1,confirmed,confirmed_edge,three_way_probe
try investing money,go on to the internet,search for an investment website,1,confirmed,confirmed_edge,three_way_probe
own a dog,shop for pet supplies,shop for pet food,2,truly_parallel,proscript,three_way_probe
buy a guitar,Try out guitars,Choose which one is best,1,confirmed,confirmed_edge,three_way_probe
live a healthier lifestyle,throw out all the snack foods,purchase lean white meats,2,truly_parallel,proscript,three_way_probe
have a nerf gun war,collect the spent toys and put away,shoot at anyone passing by,0,reversed,reversed_edge,three_way_probe
learn figure drawing,Find a pencil,Locate an eraser,2,truly_parallel,proscript,three_way_probe
go fishing anymore,Wait for a nice day to go fishing,Buy fishing equipment,2,truly_parallel,proscript,three_way_probe
learn more about human anatomy,take the book to a table,sit down in a chair at the table,1,confirmed,confirmed_edge,three_way_probe
write a story,Write third draft.,Edit second draft,0,reversed,reversed_edge,three_way_probe
see the natural beauty of Maine,drive toward Maine,drive around the state of Maine,1,confirmed,confirmed_edge,three_way_probe
try every flavor of ice cream at the shop,Speak to attendant,Enter ice cream shop,0,reversed,reversed_edge,three_way_probe
make some cookies,Gather cookie ingredients,Preheat the oven,2,truly_parallel,proscript,three_way_probe
start a book club,Pick a time and a place to meet every week.,Pick out a book to read each week.,2,truly_parallel,proscript,three_way_probe
save one hundred dollars for a vacation,Purchase a package at a discounted rate,Compare the packages,0,reversed,reversed_edge,three_way_probe
play a video game,Buy a video game console,Buy a video game,2,truly_parallel,proscript,three_way_probe
leave the house,Check the mirror,Step outside the home,1,confirmed,confirmed_edge,three_way_probe
try to skateboard,Purchase skateboard online.,Wait for skateboard to arrive.,1,confirmed,confirmed_edge,three_way_probe
see the natural beauty of Maine,get car inspected,take time off from work,2,truly_parallel,proscript,three_way_probe
look good for a dance,Put on makeup,Dry and style hair,2,truly_parallel,proscript,three_way_probe
make chicken noodle soup,turn on the stove,drive back home,0,reversed,reversed_edge,three_way_probe
learn how to do a cartwheel,go into a wide open area,watch instructional videos of how to do a cartwheel,0,reversed,reversed_edge,three_way_probe
buy a puppy,take the dog to the cashier,choose a dog,0,reversed,reversed_edge,three_way_probe
make pasta with fresh mushrooms,drive back home with ingredients,turn on the stove,1,confirmed,confirmed_edge,three_way_probe
wait for a bus,Think of a destination to go to,Buy a bus pass,2,truly_parallel,proscript,three_way_probe
have a sleepover,get parents permission for sleepover,decide to have a sleepover,0,reversed,reversed_edge,three_way_probe
adopt a puppy,browse the dogs for adoption,go to shelter,0,reversed,reversed_edge,three_way_probe
have fresh herbs to enjoy year-round,Purchase Soil for the pot,Buy pots for plants,2,truly_parallel,proscript,three_way_probe
go see the new movie that just came out,book tickets online,look up movie times,0,reversed,reversed_edge,three_way_probe
eat some french fries,drive home from the store,pre-heat the oven,1,confirmed,confirmed_edge,three_way_probe
try wearing ripped jeans,Walk to section jeans are sold,Choose a pair of jeans to try on,1,confirmed,confirmed_edge,three_way_probe
go to the swap shop,pick out the best shop,pull up directions to shop,1,confirmed,confirmed_edge,three_way_probe
learn how to play the violin,take more lessons,practice every day for a couple of years,2,truly_parallel,proscript,three_way_probe
purchase a new car,arrange financing for the car,select car wanted,0,reversed,reversed_edge,three_way_probe
run a computer program,update computer first,turn computer on,0,reversed,reversed_edge,three_way_probe
see a new movie that was coming out,Purchase a ticket online,Show up to showing,1,confirmed,confirmed_edge,three_way_probe
work at a ramen shop,Write a resume,Write a cover letter,2,truly_parallel,proscript,three_way_probe
make a living performing,work for free,decide on a performance,0,reversed,reversed_edge,three_way_probe
have a sleepover,wait for friends to come over,call friends and invite to sleepover,0,reversed,reversed_edge,three_way_probe
make people happy,be aware of persons feelings,see what makes a person happy,1,confirmed,confirmed_edge,three_way_probe
wake up for school,burrow under warm blankets,doze in and out,2,truly_parallel,proscript,three_way_probe
mow the lawn today,check that all the parts are still working,get the lawnmower out of the garage,0,reversed,reversed_edge,three_way_probe
learn how to use chopsticks properly,lower both chopsticks into food,capture food by manipulating between chopsticks,1,confirmed,confirmed_edge,three_way_probe
go on a vacation in another country,Research the country,Talk with travel agent to get a package deal.,2,truly_parallel,proscript,three_way_probe
escape from prison,Get the plans for the prison,Steal a spoon from the cafeteria,2,truly_parallel,proscript,three_way_probe
buy an XBox 1,research the different consoles,watch videos of gameplay,2,truly_parallel,proscript,three_way_probe
learn how to play the guitar,watch video lessons,Get guitar out,2,truly_parallel,proscript,three_way_probe
play the trombone,hold trombone up to lips,blow musical notes through mouthpiece,1,confirmed,confirmed_edge,three_way_probe
go to the forest,Get dressed and eat breakfast.,Look up nearest forest online.,1,confirmed,confirmed_edge,three_way_probe
get another book from the library,get library card,decide which book to borrow,1,confirmed,confirmed_edge,three_way_probe
learn to play the drums,Go to the music store.,Search the internet for lessons.,2,truly_parallel,proscript,three_way_probe
get more involved,join a group of other parents,talk to the child's teachers,2,truly_parallel,proscript,three_way_probe
go to the store,put on shoes,make a list of things to buy,2,truly_parallel,proscript,three_way_probe
learn how to garden,Read the gardening books.,Select a spot for the garden.,1,confirmed,confirmed_edge,three_way_probe
audition for the school play,Practice reading lines with friends,Practice reading lines before bed,2,truly_parallel,proscript,three_way_probe
drink only fresh milk,walk toward kitchen cabinet,open cabinet and grab glass,1,confirmed,confirmed_edge,three_way_probe
take the SATs in order to get into college,go to the room giving the test,sit down at a desk,1,confirmed,confirmed_edge,three_way_probe
take up boxing so bad,Determine nearby gyms.,Pick gym that has boxing instructor.,1,confirmed,confirmed_edge,three_way_probe
try fusion cuisine,Go to a computer,Look up fusion cuisine places nearby,1,confirmed,confirmed_edge,three_way_probe
go to the hardware store for a faucet,drive home from store,buy the faucet,0,reversed,reversed_edge,three_way_probe
bring a family recipe,drive home from grocery store,cook dish according to the recipe,1,confirmed,confirmed_edge,three_way_probe
get more involved,talk to the child's teachers,make time to eat together,2,truly_parallel,proscript,three_way_probe
build a giant snowman,Put the scarf around the connection between the balls,Put carrot and rocks in center of the small ball,2,truly_parallel,proscript,three_way_probe
buy new clothes for the winter,Purchase the cloth,Search the store for winter cloth,0,reversed,reversed_edge,three_way_probe
run a computer program,click the program,let the program start up,1,confirmed,confirmed_edge,three_way_probe
write a book,Pick the topic to write about.,Prepare the work space.,2,truly_parallel,proscript,three_way_probe
get more involved,talk to the child's teachers,ask questions about the child's day,2,truly_parallel,proscript,three_way_probe
bake from scratch,drive back home,buy fresh ingredients,0,reversed,reversed_edge,three_way_probe
buy some music equipment,Go to Amazon.com,Search for music equipment,1,confirmed,confirmed_edge,three_way_probe
build a snowman,put on hat,put on coat,2,truly_parallel,proscript,three_way_probe
get more involved,plan activities together,make time to eat together,2,truly_parallel,proscript,three_way_probe
learn how to do gymnastics,Enroll in class after talking to teacher.,Travel to gym class.,0,reversed,reversed_edge,three_way_probe
see the school counselor,Click on the faculty tab.,Select the school counselors profile.,1,confirmed,confirmed_edge,three_way_probe
go to the theme park,drive to the theme park,find a parking spot,1,confirmed,confirmed_edge,three_way_probe
plant a tomato plant,Purchase tomato seedling.,Purchase potting soil and a pot.,2,truly_parallel,proscript,three_way_probe
get more involved,make time to eat together,be on the lookout for unexplained shifts in behavior,2,truly_parallel,proscript,three_way_probe
attend gym today,Compare gym prices.,Find one that has compatible hours.,2,truly_parallel,proscript,three_way_probe
have a house party,Shop for  refreshments,Clean the house,2,truly_parallel,proscript,three_way_probe
go on vacation after studying hard in college,go online and look at flights,look at hotel prices,2,truly_parallel,proscript,three_way_probe
learn to dance in time for prom,Look up dance teachers online,Contact a good dance teacher,1,confirmed,confirmed_edge,three_way_probe
make pasta with fresh mushrooms,put two pots on the stove,take out a cutting board and knife,2,truly_parallel,proscript,three_way_probe
build a snowman,put on boots,put on hat,2,truly_parallel,proscript,three_way_probe
go wilderness camping,set up camp,go to camping site,0,reversed,reversed_edge,three_way_probe
wait for a bus,collect the bus pass,walk to the bus stop,1,confirmed,confirmed_edge,three_way_probe
build a plane,gather necessary materials,find a space to construct plane,1,confirmed,confirmed_edge,three_way_probe
learn how to play the guitar,keep practicing cords,strum the strings,0,reversed,reversed_edge,three_way_probe
go on the school field trip,Pack a lunch,Fill extra water bottle,2,truly_parallel,proscript,three_way_probe
go to the store,make a list of things to buy,grab car keys,2,truly_parallel,proscript,three_way_probe
go to a live music venue,Leave the house,Put on the clothes,0,reversed,reversed_edge,three_way_probe
see a doctor,enter the hospital,drive to the hospital,0,reversed,reversed_edge,three_way_probe
go to a live music venue,Attend the event,Drive to the event,0,reversed,reversed_edge,three_way_probe
give up chocolate for Lent,Pray and abstain from chocolate,Make a pact with family to stick to the plan.,2,truly_parallel,proscript,three_way_probe
leave the house,Decide where to go,Put outside clothing on,1,confirmed,confirmed_edge,three_way_probe
build a garden last week,shop for different kinds of plants,shop for gardening supplies,2,truly_parallel,proscript,three_way_probe
hear some blues music,get dressed for the concert,find out when the blues venue has shows online,0,reversed,reversed_edge,three_way_probe
learn to play tennis,drive to tennis court,pay for tennis racket and balls,0,reversed,reversed_edge,three_way_probe
scuba dive in caves,purchase scuba gear,find a body of water,2,truly_parallel,proscript,three_way_probe
go fishing anymore,Buy fishing equipment,Travel to the body of water with the fishing equipment,1,confirmed,confirmed_edge,three_way_probe
do research about dolphins,use the internet to search,go to the local library,2,truly_parallel,proscript,three_way_probe
go for a boat ride,secure the trailer to driving vehicle (truck),drive to the lake,1,confirmed,confirmed_edge,three_way_probe
go on the school field trip,Fill extra water bottle,Pack a lunch,2,truly_parallel,proscript,three_way_probe
visit the beach,Pick out a spot on the beach.,Find a parking spot.,0,reversed,reversed_edge,three_way_probe
start a Babysitters Club like in the books,put up flyers around town,perform actual babysitting duties,1,confirmed,confirmed_edge,three_way_probe
