goal,a,b,label,edge_type,source
live a healthier lifestyle,purchase a selection of fruits,throw out all the candy in the house,2,flexible,incomparable_pair
write a story,Write the first outline of the story.,Edit the story to correct mistakes.,1,confirmed,confirmed_edge
have a house party,Select music for the party,Make a list of potential guests,2,flexible,incomparable_pair
make a living performing,work for free,decide on a performance,0,reversed,reversed_edge
buy a new dress for new years eve,figure out which specific one to buy,look up a dress,0,reversed,reversed_edge
bake a delicious peach pie,find a peach pie recipe,decide to bake a peach pie,0,reversed,reversed_edge
make some cookies,Scoop cookie dough onto cookie tray,Set cookie tray with parchment paper,0,reversed,reversed_edge
make some cookies,Scoop cookie dough onto cookie tray,Bake the cookie dough into cookies,1,confirmed,confirmed_edge
learn to ride a horse,find nearby stables,go onto the internet,0,reversed,reversed_edge
try a new diet,Prepare weekly meals that follow diet plan.,Follow new diet through week.,1,confirmed,confirmed_edge
earn some cash over the summer,when prompted go to homes and do odd jobs,disperse the flyers around the neighborhood,0,reversed,reversed_edge
get more involved,plan activities together,join a group of other parents,2,flexible,incomparable_pair
go to the forest,Get directions and drive there.,Look up nearest forest online.,0,reversed,reversed_edge
attend gym today,Search the Internet for nearby gyms.,Compare gym prices.,1,confirmed,confirmed_edge
wake up early to go fishing,Take a shower to sleep better,Set alarm for early morning,2,flexible,incomparable_pair
learn how to ride a bike,practice riding the bike,purchase the bike,0,reversed,reversed_edge
make ice cream,add yoghurt and other flavorings desired,prepare blend until thick but smooth,1,confirmed,confirmed_edge
test computer image recognition,open software for image recognition,download object to computer,0,reversed,reversed_edge
make chicken curry,pay for all the food,drive back home,1,confirmed,confirmed_edge
plant seeds after the winter,buy sees packets,take seeds home,1,confirmed,confirmed_edge
have a family dinner,Invite family inside,Drive to grocery store,2,flexible,incomparable_pair
find some friends to relax with,provide invite to friends who are not busy,send out messages to friends,2,flexible,incomparable_pair
attend gym today,Find one that has compatible hours.,Drive to the gym.,1,confirmed,confirmed_edge
throw the best Halloween party,purchase assorted scary decorations,print out invitations on festive paper,2,flexible,incomparable_pair
make a living performing,work for free,study performing with mentors,2,flexible,incomparable_pair
open a new catering hall,wait for the building to be finished,hire construction crew,0,reversed,reversed_edge
make a keepsake,work on keepsake according to tutorial,put finishing touches on keepsake,1,confirmed,confirmed_edge
wait for a bus,Think of a destination to go to,collect the bus pass,2,flexible,incomparable_pair
get more involved,talk to the child's teachers,make time to eat together,2,flexible,incomparable_pair
try online dating,make a dating profile,message matches that seem good,1,confirmed,confirmed_edge
get their computers ready,Turn on each computer,Open each computer,0,reversed,reversed_edge
eat some apples,Slice the apple into pieces,Wash the hand,1,confirmed,confirmed_edge
expand their business scope,research the credentials needed,find a school that offers classes,2,flexible,incomparable_pair
buy a book,Take the receipt from the cashier,Take the book from the cashier,2,flexible,incomparable_pair
go elephant riding,get out of the car,buy the tickets,1,confirmed,confirmed_edge
go on vacation after studying hard in college,buy plane tickets,go to the airport,1,confirmed,confirmed_edge
catch some fish for food storage for winter,Get a fishing license.,Search for nearby streams.,1,confirmed,confirmed_edge
start a Babysitters Club like in the books,get permission from parents to use house,call friends together with invitations,2,flexible,incomparable_pair
learn to paint,Purchase art supplies,Sign up for lessons,2,flexible,incomparable_pair
give back to the world,volunteer for eco friendly organizations,volunteer to get donations for social causes,2,flexible,incomparable_pair
work at a ramen shop,Write a resume,Submit resume and cover letter to the ramen shop,1,confirmed,confirmed_edge
start Varsity football,practice football at home,play on the regular teams,2,flexible,incomparable_pair
learn more about human anatomy,sit down in a chair at the table,open the book,1,confirmed,confirmed_edge
learn to back flip,Take notes on what to do.,Search the Internet on how to back flip.,0,reversed,reversed_edge
get into gardening,Drive to local garden center,Buy tools at store,1,confirmed,confirmed_edge
find a new book to read,search fiction isle,enter the store,0,reversed,reversed_edge
know why religion was so controversial,talk to local authorities on the matter,use the internet to research,2,flexible,incomparable_pair
hire a new chef,send a job offer to the best chef,pick the best chefs of the group,0,reversed,reversed_edge
get out of town this past weekend,drive out of town,start the car,0,reversed,reversed_edge
go on the school field trip,Return signed permission slip to school,Pack a lunch,1,confirmed,confirmed_edge
have fresh herbs to enjoy year-round,Purchase Soil for the pot,Buy pots for plants,2,flexible,incomparable_pair
make some chicken tenders for supper,take chicken nuggets from freezer,pre-heat the oven,2,flexible,incomparable_pair
make some cookies,Set cookie tray with parchment paper,Mix ingredients together into cookie dough,2,flexible,incomparable_pair
have a nerf gun war,shoot at anyone passing by,scatter in all directions,0,reversed,reversed_edge
build a swing set in their backyard,round up tools to use,sort parts into piles,2,flexible,incomparable_pair
scuba dive in caves,put scuba gear on,find a body of water,2,flexible,incomparable_pair
take a trip to the beach,Fill up car with gas.,Get into car.,0,reversed,reversed_edge
get across town to the store,put on left sock,find socks and shoes,0,reversed,reversed_edge
make chicken curry,find the spice aisle,get some fresh chicken,2,flexible,incomparable_pair
learn how to do a cartwheel,watch instructional videos of how to do a cartwheel,log onto the internet,0,reversed,reversed_edge
work at a ramen shop,Go in for an interview,Accept a job offer,1,confirmed,confirmed_edge
see SNL while in NYC,Order a ticket,Go to the building SNL is in,1,confirmed,confirmed_edge
buy some music equipment,Search for music equipment,Specify with music equipment,1,confirmed,confirmed_edge
have a nerf gun war,scatter in all directions,hide behind trees and buildings,2,flexible,incomparable_pair
play basketball throughout high school,play in the basketball games,repeat the above steps for the next 3 years,1,confirmed,confirmed_edge
go back to school,Go to store and buy school supplies,Organize school supplies and books,1,confirmed,confirmed_edge
buy a video game,watch trailers for the video games,decide on a video game,1,confirmed,confirmed_edge
throw the best Halloween party,place bowls of candy out around the house,purchase an assortment of candies,0,reversed,reversed_edge
go fishing anymore,Verify that fishing is allowed,Wait for a nice day to go fishing,2,flexible,incomparable_pair
purchase new living room furniture,put on shoes,look up IKEA's hours online,2,flexible,incomparable_pair
throw the best Halloween party,print out invitations on festive paper,purchase assorted scary decorations,2,flexible,incomparable_pair
see a big movie premier,Get in line at the ticket counter,Drive to the movie theater,0,reversed,reversed_edge
rent a movie for the evening,put the movie in to watch,drive back home,0,reversed,reversed_edge
put away some blocks,Place bin near blocks,Scan area for block pieces,2,flexible,incomparable_pair
make some Popsicles,gather ingredients in kitchen,go back home,0,reversed,reversed_edge
bake some chocolate chip cookies,place on tray 2 inches apart,bake in an oven,1,confirmed,confirmed_edge
learn how to use chopsticks properly,lower both chopsticks into food,capture food by manipulating between chopsticks,1,confirmed,confirmed_edge
learn to play the drums,Search the internet for lessons.,Go to the music store.,2,flexible,incomparable_pair
do research about dolphins,click on links to articles about dolphins,read books on dolphins,2,flexible,incomparable_pair
learn how to play card games,Wait for the book and cards to be delivered,Purchase a set of cards,0,reversed,reversed_edge
join the school marching band,Ask to join the band.,Sign a waiver and pay a fee.,1,confirmed,confirmed_edge
write a book,Have the book published,Write the book.,0,reversed,reversed_edge
do research about dolphins,go to the local library,find local marine specialists,2,flexible,incomparable_pair
make sure the party was a huge success,Set up the party decorations,Set up the food,2,flexible,incomparable_pair
throw the best Halloween party,place bowls of candy out around the house,place a lighted jack-o-lantern on the porch,2,flexible,incomparable_pair
wake up for school,turn off alarm,doze in and out,0,reversed,reversed_edge
visit the beach,Drive to the beach early.,Find a parking spot.,1,confirmed,confirmed_edge
learn to make pot pies,gather materials together,make the potpies,1,confirmed,confirmed_edge
start a website,Research website hosts,Get a working computer,0,reversed,reversed_edge
take tap dancing lessons,buy tap shoes for class,register for the tap class,0,reversed,reversed_edge
get unique shoes that would standout at school,turn on computer,search websites for unique pair of shoes,1,confirmed,confirmed_edge
take fencing lessons,make an appointment with the instructor,drive to the initial appointment,1,confirmed,confirmed_edge
have a family dinner,Invite family inside,Prepare meal using groceries,2,flexible,incomparable_pair
make chicken noodle soup,buy chicken noodle soup at the store,drive back home,1,confirmed,confirmed_edge
go on a hike,Print out directions to the trail,Put on hiking boots,1,confirmed,confirmed_edge
play pro basketball,Work on basketball shots,Train up endurance,2,flexible,incomparable_pair
see a doctor,drive to the hospital,schedule the doctor's appointment,0,reversed,reversed_edge
know why religion was so controversial,use the internet to research,ask friends and family for opinions and thoughts,2,flexible,incomparable_pair
get in better shape,track fitness progress with an app,make a list of healthy foods,2,flexible,incomparable_pair
get a new car,talk to a salesman about cars,do a few test drives,1,confirmed,confirmed_edge
give up chocolate for Lent,Pray and abstain from chocolate,Accomplish the goal and feel healthy,1,confirmed,confirmed_edge
see a Broadway show,Attend the performance,Drive to the performance location,0,reversed,reversed_edge
find a vaccine for the virus,take lots of classes,take board exams,1,confirmed,confirmed_edge
get in shape,do the activity every week,increase time of activity as the exercise gets easier,1,confirmed,confirmed_edge
win the lottery,ask to buy a lottery ticket from clerk,pick numbers for the ticket,1,confirmed,confirmed_edge
throw the best Halloween party,hang up the scary decorations,send out invitations,2,flexible,incomparable_pair
learn to make pot pies,turn on the oven,make the potpies,2,flexible,incomparable_pair
try making bagels,Buy ingredients at the store.,Follow the instructions to make bagels.,1,confirmed,confirmed_edge
start a Babysitters Club like in the books,purchase snacks for the kids,put up flyers around town,2,flexible,incomparable_pair
sail the seven seas,negotiate a fair deal,ask boat captain to join the crew,0,reversed,reversed_edge
take up golfing,Play some golf.,Drive to the golf course.,0,reversed,reversed_edge
order Chinese food,Decide what everyone wants,Get payment method ready,1,confirmed,confirmed_edge
make a good impression at the upcoming dance,practice etiquette at home,go to store,2,flexible,incomparable_pair
go for a drive,get gas for the car,go for a drive to the location,1,confirmed,confirmed_edge
plant seeds after the winter,get a shovel,go into the shed,0,reversed,reversed_edge
have a dog,Pick out a dog,Put the dog in the car,1,confirmed,confirmed_edge
start a book club,Tell the friends to join book club.,Find some friends who like books.,0,reversed,reversed_edge
rent a cabin,go to the internet,plan vacation with others,2,flexible,incomparable_pair
start a Babysitters Club like in the books,get permission from parents to use house,put up flyers around town,2,flexible,incomparable_pair
live debt free,Find a way to make extra money,Cut back spending on unnecessary items,2,flexible,incomparable_pair
go on a trip,Take time off work.,Purchase plane tickets.,1,confirmed,confirmed_edge
plant an apple tree,buy an apple tree,put apple tree in truck,1,confirmed,confirmed_edge
go in the navy,Meet with the recruiter,Set an appointment,0,reversed,reversed_edge
wait for a bus,Buy a bus pass,Lookup the bus needed to get there online,2,flexible,incomparable_pair
find cheaper tickets to the concert,return the old tickets,decide which ticket is cheapest,0,reversed,reversed_edge
earn some extra money fast,Go online using browser,Search quick money making sites,1,confirmed,confirmed_edge
learn to french braid,Watch a tutorial on french braiding,Go online with browser,0,reversed,reversed_edge
do something crazy,Find something crazy that is doable.,Find something crazy to do that is safe.,2,flexible,incomparable_pair
eat Chinese food,Give server the order.,Travel to restaurant.,0,reversed,reversed_edge
make a fort,find a fort location,brainstorm a fort construction,2,flexible,incomparable_pair
buy some headphones,watch a video review,look at the headphone reviews,2,flexible,incomparable_pair
get a skin peel at a dermatologist office,Check in at office,Wait to be be called by dermatologist,1,confirmed,confirmed_edge
get in better shape,make a list of healthy foods,write down an exercise regime,2,flexible,incomparable_pair
try every flavor of ice cream at the shop,Drive to ice cream shop,Enter ice cream shop,1,confirmed,confirmed_edge
go to the library downtown,put on shoes and clothing,check the library's hours online,2,flexible,incomparable_pair
wait for a bus,collect the bus pass,walk to the bus stop,1,confirmed,confirmed_edge
start a Babysitters Club like in the books,get permission from parents to use house,purchase snacks for the kids,1,confirmed,confirmed_edge
open a savings account,Fill out paperwork,Get approved for an account,1,confirmed,confirmed_edge
buy a puppy,choose a dog,play with the dogs,0,reversed,reversed_edge
make a good impression at the upcoming dance,practice etiquette at home,go back home,2,flexible,incomparable_pair
go mountain climbing,buy climbing gear,hire a guide and instructor,1,confirmed,confirmed_edge
play the drums,walk across basement to drum set,walk down basement stairs,0,reversed,reversed_edge
go back to school,Buy books needed,Go to store and buy school supplies,2,flexible,incomparable_pair
have a family dinner,Prepare meal using groceries,Drive home from store,0,reversed,reversed_edge
wait for a bus,collect the bus pass,Think of a destination to go to,2,flexible,incomparable_pair
learn to dance in time for prom,Look up dance teachers online,Contact a good dance teacher,1,confirmed,confirmed_edge
get in better shape,tape the paper with the regime to the fridge,make a list of healthy foods,2,flexible,incomparable_pair
own a dog,shop for pet food,shop for pet supplies,2,flexible,incomparable_pair
buy a denim jacket,decide to buy a denim jacket,get in car,1,confirmed,confirmed_edge
make some cookies,Set cookie tray with parchment paper,Gather cookie ingredients,2,flexible,incomparable_pair
get a new keyboard,Set up the keyboard upon arrival.,Pay for the keyboard.,0,reversed,reversed_edge
play pro basketball,Work on basketball shots,Gain recognition for skills,1,confirmed,confirmed_edge
build a swing set in their backyard,unpack all the parts,round up tools to use,2,flexible,incomparable_pair
learn how to play the violin,buy a violin,Contact a violin teacher and schedule a lesson,2,flexible,incomparable_pair
join the tennis team,Find someone to play tennis with,Find a good tennis court nearby,2,flexible,incomparable_pair
wait for a bus,map out where the bus stop is,Buy a bus pass,2,flexible,incomparable_pair
simulate a data set,Begin replicating tests,Load up data,0,reversed,reversed_edge
go to the local water park,Find out pricing and dates its open,Put on swim suit,2,flexible,incomparable_pair
own a dog,shop for pet supplies,fill out necessary paperwork,0,reversed,reversed_edge
paint some plaster,Allow plaster to dry without touching.,Apply plaster to walls,0,reversed,reversed_edge
throw the best Halloween party,print out invitations on festive paper,purchase an assortment of candies,2,flexible,incomparable_pair
make Kool Aid to cool down,put some ice into the pitcher,fill cups with the freshly prepared kool-aid,1,confirmed,confirmed_edge
see what life was like up north,Rent a moving van,Rent out a new apartment,0,reversed,reversed_edge
get more involved,be ready to listen all the time,join a group of other parents,2,flexible,incomparable_pair
go back to college,Enroll in college.,Open acceptance letters.,0,reversed,reversed_edge
visit the beach,Pack a beach bag with supplies.,Drive to the beach early.,1,confirmed,confirmed_edge
take up golfing,Search online for local golf courses.,Drive to a local golf store.,2,flexible,incomparable_pair
live debt free,"Account for every penny you're spending, daily",Cut back spending on unnecessary items,1,confirmed,confirmed_edge
sit in the front seat of the car,unlock the car door,walk out of the house,0,reversed,reversed_edge
start a restaurant,Put tables inside,Hire new staff,1,confirmed,confirmed_edge
go to the forest,Get dressed and eat breakfast.,Look up nearest forest online.,1,confirmed,confirmed_edge
start a Babysitters Club like in the books,put up flyers around town,call friends together with invitations,2,flexible,incomparable_pair
learn how to line dance,Sign up for a dance class,Learn to love country music,0,reversed,reversed_edge
take a trip to the beach,Fill up car with gas.,Drive to beach.,1,confirmed,confirmed_edge
have a birthday party,make food for the party,go back home,0,reversed,reversed_edge
throw the best Halloween party,place a lighted jack-o-lantern on the porch,purchase assorted scary decorations,2,flexible,incomparable_pair
buy some ice cream,go to the store,look up options in menu,1,confirmed,confirmed_edge
get a nice gold ring for cheap,wait for ring to be delivered,order ring from ebay,0,reversed,reversed_edge
start to eat healthy,make a list of groceries,go to the store for the groceries,1,confirmed,confirmed_edge
learn how to paint,drive to the crafts store,sign up for a painting class,0,reversed,reversed_edge
get in better shape,do exercises off the list each day,make a list of healthy foods,2,flexible,incomparable_pair
have a taco night,cook desired meat(s),put out ingedients,0,reversed,reversed_edge
make some cookies,Mix ingredients together into cookie dough,Set cookie tray with parchment paper,2,flexible,incomparable_pair
take horseback riding lessons,Show up for lessons,Grab the reins,1,confirmed,confirmed_edge
adopt a puppy,browse the dogs for adoption,go to shelter,0,reversed,reversed_edge
throw the best Halloween party,send out invitations,purchase assorted scary decorations,2,flexible,incomparable_pair
learn figure drawing,Place pencil tip to paper,Find a pencil,0,reversed,reversed_edge
impress a group of popular girls at school,Research popular girl interests.,Travel to location popular girls are.,2,flexible,incomparable_pair
look good for a dance,Put on underwear,Take a shower and wash hair,0,reversed,reversed_edge
make some cookies,Mix ingredients together into cookie dough,Gather cookie ingredients,0,reversed,reversed_edge
make ice cream,place in freezer for 3 hours,remove from freezer and place in blender,1,confirmed,confirmed_edge
make Kool Aid to cool down,empty the packet of kool-aid into the pitcher,fill the pitcher with water,2,flexible,incomparable_pair
sing in the choir,practice an audition song,audition for the choir,1,confirmed,confirmed_edge
join a club,Find club hours.,Search the Internet for nearby club interests,0,reversed,reversed_edge
go to space,complete honors program,apply to join honors program,0,reversed,reversed_edge
throw the best Halloween party,hang up the scary decorations,purchase assorted scary decorations,0,reversed,reversed_edge
get more involved,plan activities together,talk to the child's teachers,2,flexible,incomparable_pair
see the banana plantations,Schedule an appointment,Drive to the location,1,confirmed,confirmed_edge
do stand-up at an open mic night,find an open mic night,learn a stand up routine,0,reversed,reversed_edge
make pasta with fresh mushrooms,"buy mushrooms, pasta, and sauce",drive back home with ingredients,1,confirmed,confirmed_edge
go pick up groceries for dinner,walk into store,get in car and go to store,0,reversed,reversed_edge
build a giant snowman,Stack a smaller ball onto a larger ball,Put the scarf around the connection between the balls,1,confirmed,confirmed_edge
live a healthier lifestyle,purchase a selection of vegetables,throw out all the snack foods,2,flexible,incomparable_pair
learn to play the drums,Buy a set of drums.,Search the internet for lessons.,2,flexible,incomparable_pair
live a healthier lifestyle,purchase a selection of vegetables,purchase a selection of fruits,2,flexible,incomparable_pair
make some bath soap last week,pour ingredient mix into a soap mold.,mix ingredients together,0,reversed,reversed_edge
get across town to the store,drive to the store,walk to the car,0,reversed,reversed_edge
make ice cream,prepare blend until thick but smooth,add yoghurt and other flavorings desired,0,reversed,reversed_edge
see the natural beauty of Maine,get car inspected,buy road map of Maine,1,confirmed,confirmed_edge
start a butterfly garden,Plant flowers and assemble other garden components.,Wait for flowers to bloom/attract butterflies.,1,confirmed,confirmed_edge
get more involved,talk to the child's teachers,ask questions about the child's day,2,flexible,incomparable_pair
get new socks,open front door,exit home through front door,1,confirmed,confirmed_edge
analyze some data,Transfer results to a computer,Record results of experiment,0,reversed,reversed_edge
go to the store,make a list of things to buy,grab car keys,2,flexible,incomparable_pair
start a Babysitters Club like in the books,call friends together with invitations,get permission from parents to use house,2,flexible,incomparable_pair
build a giant snowman,Stack a smaller ball onto a larger ball,"Get a scarf, a carrot, and rocks",2,flexible,incomparable_pair
lose a few pounds over the summer,get scale out of bathroom,weigh yourself with scale,1,confirmed,confirmed_edge
play basketball throughout high school,play in the basketball games,practice at home,0,reversed,reversed_edge
